"V1","V2","V3","V4","V5"
"age at birth","0-4","5-9","10-14","15-19"
"15-19","101","120","132","120"
"20-24","206","228","247","253"
"25-29","193","216","238","243"
"30-34","154","192","198","[214]"
"35-39","106","127","[160]",""
"40-44","40","[76]","",""
"45-49","[10]","","",""
